date;open;high;low;close
30/04/2018;255.89;257.6;236.98;241.68
01/05/2018;241.68;241.82;228.01;239.21
02/05/2018;239.74;252.9;238.54;248.94
03/05/2018;248.65;258.4;240.54;244.92
04/05/2018;244.95;249.0;236.51;241.65
05/05/2018;241.65;247.78;238.01;238.87
06/05/2018;240.51;241.89;230.94;234.67
07/05/2018;234.67;235.29;221.13;233.38
08/05/2018;232.66;234.65;220.0;223.17
09/05/2018;222.26;233.01;215.0;226.79
10/05/2018;226.77;233.09;216.53;216.8
11/05/2018;217.19;217.19;195.82;196.83
12/05/2018;197.25;205.31;190.7;201.31
13/05/2018;202.62;212.38;201.86;207.92
14/05/2018;207.77;217.91;196.0;212.55
15/05/2018;212.87;218.19;201.0;202.58
16/05/2018;203.0;203.0;192.4;198.91
17/05/2018;199.33;203.5;190.5;191.2
18/05/2018;190.5;212.35;185.89;203.5
19/05/2018;203.95;205.46;196.6;197.73
20/05/2018;197.12;206.27;196.0;203.1
21/05/2018;203.81;203.98;193.49;198.0
22/05/2018;198.42;198.42;175.04;175.67
23/05/2018;175.47;194.5;165.5;170.02
24/05/2018;170.5;177.67;160.32;171.39
25/05/2018;171.45;173.87;162.26;164.21
26/05/2018;164.08;169.14;162.0;163.69
27/05/2018;164.26;169.93;160.51;165.06
28/05/2018;167.0;168.12;149.0;149.75
29/05/2018;149.75;167.0;147.77;157.33
30/05/2018;158.0;161.22;151.63;154.52
31/05/2018;154.0;159.47;153.56;156.09
01/06/2018;156.16;157.41;152.64;156.78
02/06/2018;157.02;167.87;156.02;162.5
03/06/2018;162.24;177.63;162.24;169.0
04/06/2018;169.0;170.19;156.57;160.22
05/06/2018;160.41;169.22;156.6;165.98
06/06/2018;166.96;167.39;161.7;163.97
07/06/2018;164.9;170.26;162.11;163.94
08/06/2018;164.0;165.67;156.11;158.5
09/06/2018;158.16;160.48;153.66;153.87
10/06/2018;153.6;154.1;131.0;139.0
11/06/2018;139.15;140.0;131.5;137.41
12/06/2018;138.25;138.59;119.2;125.22
13/06/2018;125.24;125.9;111.84;121.42
14/06/2018;122.13;157.82;118.26;132.5
15/06/2018;132.7;133.47;121.7;121.7
16/06/2018;121.79;127.89;120.67;126.0
17/06/2018;126.03;126.6;122.75;123.0
18/06/2018;123.0;129.68;118.39;126.85
19/06/2018;126.85;131.35;123.91;125.83
20/06/2018;125.76;126.32;119.44;122.5
21/06/2018;122.5;124.27;121.36;123.23
22/06/2018;123.09;124.18;106.42;110.0
23/06/2018;110.0;119.41;110.0;115.53
24/06/2018;114.31;125.24;107.23;120.97
25/06/2018;120.97;129.96;120.59;126.45
26/06/2018;126.71;129.86;119.28;119.97
27/06/2018;119.35;130.81;118.64;127.82
28/06/2018;128.55;134.05;114.02;116.31
29/06/2018;116.31;128.14;114.92;126.17
30/06/2018;126.61;157.6;126.61;130.99
01/07/2018;130.99;133.73;125.46;129.4
02/07/2018;130.0;143.0;127.82;140.21
03/07/2018;140.56;143.98;136.76;138.12
04/07/2018;138.43;146.6;136.24;137.77
05/07/2018;139.11;140.86;132.98;138.08
06/07/2018;137.05;137.56;130.26;133.06
07/07/2018;133.11;135.05;129.01;133.97
08/07/2018;134.49;139.42;133.64;137.03
09/07/2018;136.8;141.08;134.67;135.14
10/07/2018;135.14;136.26;120.57;120.98
11/07/2018;121.0;129.4;120.34;125.04
12/07/2018;124.41;126.0;115.89;119.91
13/07/2018;120.87;126.19;119.24;121.78
14/07/2018;122.46;123.94;120.5;121.93
15/07/2018;123.0;125.53;121.0;123.81
16/07/2018;123.71;135.81;122.5;135.48
17/07/2018;135.12;148.49;134.79;144.0
18/07/2018;144.0;149.74;137.95;139.48
19/07/2018;139.81;144.31;137.66;139.59
20/07/2018;139.45;139.46;128.0;129.71
21/07/2018;129.02;132.77;127.06;131.97
22/07/2018;131.57;133.78;127.86;127.86
23/07/2018;127.99;142.46;127.67;133.74
24/07/2018;133.69;148.74;133.69;148.67
25/07/2018;148.0;148.88;138.13;142.69
26/07/2018;143.12;145.46;134.7;136.22
27/07/2018;136.67;142.59;134.06;140.0
28/07/2018;140.2;141.45;138.2;139.34
29/07/2018;140.81;141.35;134.87;135.58
30/07/2018;135.58;136.6;128.23;132.08
31/07/2018;131.75;134.13;121.18;122.3
01/08/2018;122.13;130.03;119.6;128.45
02/08/2018;128.12;130.34;120.61;122.1
03/08/2018;122.03;122.61;114.91;119.86
04/08/2018;120.02;121.0;112.31;113.88
05/08/2018;114.52;118.47;111.13;117.2
06/08/2018;117.68;119.7;111.99;113.46
07/08/2018;113.23;118.0;107.56;107.73
08/08/2018;107.68;107.68;92.83;93.86
09/08/2018;96.19;102.21;94.74;100.19
10/08/2018;100.25;100.25;89.8;91.4
11/08/2018;91.62;99.08;87.16;93.04
12/08/2018;93.05;96.06;91.41;93.11
13/08/2018;92.91;98.14;87.69;88.16
14/08/2018;87.01;87.16;77.62;84.31
15/08/2018;84.13;94.08;84.13;89.47
16/08/2018;89.31;92.8;88.42;90.8
17/08/2018;91.1;101.51;90.77;99.13
18/08/2018;99.3;104.92;94.44;97.94
19/08/2018;97.84;99.1;94.53;98.5
20/08/2018;98.89;103.0;92.32;92.69
21/08/2018;92.5;96.75;91.87;94.91
22/08/2018;94.48;99.23;86.7;89.67
23/08/2018;89.84;91.74;88.38;89.95
24/08/2018;89.97;94.07;88.41;93.63
25/08/2018;93.51;96.45;92.15;92.5
26/08/2018;92.5;94.54;90.15;94.44
27/08/2018;94.52;107.62;93.11;105.12
28/08/2018;105.6;108.17;102.19;107.5
